# MACSJ0416 photometric redshifts
# M0416cl_A.cat IDs cross matched wth M0416cl_ZPHOT.cat
# ID RA[deg] DEC[deg] ZBEST ZBEST_SIG ZPHOTFLAG
207 64.024452 -24.090012 2.541999 3.5485 0
208 64.039963 -24.09001 3.877 1.98 0
209 64.049629 -24.089964 4.90765 0.038 0
210 64.029343 -24.089943 3.2415 0.7875 0
211 64.050209 -24.089954 3.7365 0.8663 0
212 64.050728 -24.089905 1.3735 0.0235 0
213 64.048409 -24.089891 3.294399 1.5205 0
214 64.047401 -24.089844 0.5095 0.048 0
215 64.029297 -24.089848 4.1214 0.022 0
216 64.035278 -24.089813 1.70845 0.06 0
217 64.041588 -24.089794 2.645 0.0735 0
218 64.02742 -24.089979 7.681999 0.038 0
219 64.03875 -24.089712 2.2015 0.0506 0
220 64.034561 -24.089703 5.824001 0.06 0
221 64.039291 -24.08956 2.2015 0.09 0
222 64.050758 -24.089506 0.01 0.02 0
223 64.047432 -24.089493 1.5243 0.024 0
224 64.040749 -24.089504 4.596 0.536 0
225 64.045898 -24.089417 0.665 0.0245 0
226 64.031746 -24.089411 9.922647 0.048499 0
227 64.038155 -24.089552 1.141 0.051 0
228 64.039993 -24.089369 1.3735 0.035 0
229 64.050285 -24.089329 4.213949 0.097001 0
230 64.036606 -24.089996 0.3765 0.1645 0
231 64.039017 -24.089363 0.92765 0.03 0
232 64.039612 -24.089321 1.01545 0.37 0
233 64.035164 -24.089935 1.92625 0.0535 0
234 64.028847 -24.089407 2.048999 0.05225 0
235 64.023773 -24.089724 1.22665 0.0195 0
236 64.047691 -24.089142 0.9585 0.085 0
237 64.036865 -24.089136 1.3535 2.025 0
238 64.046143 -24.089075 1.65 0.0129 0
239 64.05088 -24.089056 2.5857 0.043 0
240 64.028099 -24.089468 0.32 1.4883 0
241 64.032356 -24.089045 4.07 0.0983 0
242 64.048752 -24.089052 3.383 0.16 0
243 64.049774 -24.088985 0.835 0.06865 0
244 64.032486 -24.0895 0.8395 0.0695 0
245 64.038528 -24.088926 2.3565 0.0712 0
246 64.031776 -24.08889 6.405 0.01555 0
247 64.040497 -24.088909 7.131 0.106049 0
248 64.020454 -24.088869 2.505 0.151 0
249 64.034294 -24.08886 1.1765 0.0385 0
250 64.024818 -24.089516 0.44975 0.035 0
251 64.048958 -24.088848 1.6855 1.41545 0
252 64.025215 -24.088854 0.375 0.12 0
253 64.023834 -24.089464 0.05 0.0365 0
254 64.029427 -24.089401 0.5545 0.0344 0
255 64.039764 -24.088829 1.4 0.01935 0
256 64.037979 -24.088839 0.7855 0.0095 0
257 64.037048 -24.088781 4.42745 0.085 0
258 64.019974 -24.089043 3.275 0.04595 0
259 64.030403 -24.08885 1.63 0.026 0
260 64.025375 -24.089046 2.6095 0.12025 0
261 64.041901 -24.089079 0.8336 0.0205 0
262 64.051102 -24.088671 2.009 0.04065 0
263 64.050079 -24.088669 2.114999 0.02055 0
264 64.036804 -24.088654 0.935 0.1401 0
265 64.027161 -24.088625 5.235 1.99845 0
266 64.041367 -24.088617 1.5945 0.03735 0
267 64.037308 -24.088839 0.605 0.06625 0
268 64.025452 -24.088858 0.694 0.0245 0
269 64.051422 -24.088514 2.4515 0.0885 0
270 64.045341 -24.088505 7.472051 0.045 0
271 64.039551 -24.088541 5.93335 0.015 0
272 64.051231 -24.088442 2.023 0.43805 0
273 64.048836 -24.088396 0.781 0.01 0
274 64.045731 -24.088364 7.2476 0.04505 0
275 64.047592 -24.088381 4.0815 0.16 0
276 64.040154 -24.088732 0.25375 0.021 0
277 64.0448 -24.08844 0.677 1.6493 0
278 64.050926 -24.088276 3.3395 0.0757 0
279 64.028564 -24.088181 0.72 0.08185 0
280 64.050041 -24.088188 0.8715 0.0615 0
281 64.03653 -24.088177 1.1515 0.0917 0
282 64.039093 -24.08814 3.9668 0.0085 0
283 64.019707 -24.088602 0.46495 0.0595 0
284 64.051544 -24.088308 0.348 0.128 0
285 64.029793 -24.084579 2.9935 0.0285 0
286 64.037567 -24.088116 8.144901 0.181 0
287 64.040787 -24.088102 1.64 0.0357 0
288 64.026535 -24.08798 0.55985 0.04 0
289 64.027138 -24.088074 2.189399 0.105 0
290 64.039658 -24.088154 2.085 0.1148 0
291 64.044266 -24.088434 0.28 0.2885 0
292 64.041023 -24.088049 1.5365 0.045 0
293 64.030632 -24.087986 1.5034 2.216 0
294 64.04538 -24.087982 0.586 0.31795 0
295 64.028564 -24.087946 0.113 0.0475 0
296 64.040482 -24.087933 1.3735 0.01735 0
297 64.051208 -24.088104 0.4065 0.071 0
298 64.016998 -24.087875 0.97 0.9435 0
299 64.042618 -24.087387 5.30325 2.715 0
300 64.016159 -24.087875 6.5602 0.2085 0
301 64.043594 -24.087885 1.3585 0.0635 0
302 64.038498 -24.087852 4.1215 0.16095 0
303 64.018623 -24.087837 1.1 0.6035 0
304 64.052223 -24.087824 5.6119 0.1085 0
305 64.034042 -24.087894 0.515 0.0587 0
306 64.032722 -24.087816 0.245 1.86475 0
307 64.050064 -24.08782 4.34945 0.035 0
308 64.017776 -24.087782 4.334601 0.245 0
309 64.048988 -24.087784 0.866 0.01705 0
310 64.028137 -24.087772 0.216 0.13 0
311 64.038193 -24.087753 2.171 0.045 0
312 64.047318 -24.087654 2.647999 0.3915 0
313 64.039558 -24.087717 1.3465 0.0235 0
314 64.015411 -24.087616 1.3916 0.745 0
315 64.031059 -24.087622 2.186 0.0165 0
316 64.030144 -24.087854 1.1925 0.0071 0
317 64.01738 -24.088377 0.5166 0.02 0
318 64.023224 -24.087923 0.5445 0.02295 0
319 64.024597 -24.087526 3.45175 1.488 0
320 64.029228 -24.087694 1.3635 0.1424 0
321 64.022507 -24.087479 4.918 0.041 0
322 64.038795 -24.087448 2.59 0.5623 0
323 64.033051 -24.0875 1.3543 0.0435 0
324 64.033997 -24.087433 0.9985 0.0383 0
325 64.019562 -24.088263 0.5313 0.02 0
326 64.018829 -24.087446 1.059 0.0515 0
327 64.029907 -24.08791 1.2295 0.03155 0
328 64.036453 -24.087337 1.7095 0.13175 0
329 64.034645 -24.087416 0.255 0.334 0
330 64.015106 -24.087425 5.870001 2.3943 0
331 64.049194 -24.087347 0.573 0.023 0
332 64.016609 -24.087269 1.9804 1.682 0
333 64.032127 -24.087624 1.98735 0.025 0
334 64.045578 -24.087217 3.16 0.0108 0
335 64.027809 -24.084375 3.7578 0.63 0
336 64.035606 -24.087214 1.7545 0.0145 0
337 64.032326 -24.08539 0.1849 0.06 0
338 64.011696 -24.085903 3.4452 0.3875 0
339 64.027344 -24.086605 0.3757 0.0 1
340 64.021507 -24.088036 0.684 0.094 0
341 64.035332 -24.087261 1.2395 0.1 0
342 64.049362 -24.087252 0.596 0.281 0
343 64.030846 -24.08717 4.314002 0.132 0
344 64.018951 -24.087156 4.340751 0.061001 0
345 64.048706 -24.087154 2.2225 0.017 0
346 64.029564 -24.087152 2.262 1.71545 0
347 64.034615 -24.087126 0.899 1.08275 0
348 64.024551 -24.087187 1.92315 1.527 0
349 64.019295 -24.087231 0.7745 0.061 0
350 64.018433 -24.087328 0.527 0.037 0
351 64.025726 -24.08709 0.4335 0.0695 0
352 64.019783 -24.087234 0.425 0.13775 0
353 64.031273 -24.087372 1.2235 0.0165 0
354 64.043121 -24.087048 5.2445 0.05055 0
355 64.038498 -24.08704 6.243999 0.028651 0
356 64.029388 -24.087723 0.094 0.055 0
357 64.027946 -24.087032 2.15265 1.1845 0
358 64.014122 -24.08703 3.3769 2.835 0
359 64.029808 -24.087391 0.2975 0.025 0
360 64.028168 -24.087021 1.695 0.83025 0
361 64.033234 -24.087017 0.58 0.005 0
362 64.032547 -24.086994 0.16845 0.0065 0
363 64.021675 -24.086985 0.04 0.035 0
364 64.013931 -24.086962 5.955502 2.4714 0
365 64.050079 -24.086977 0.24 0.04025 0
366 64.015739 -24.087063 0.075 0.0475 0
367 64.051712 -24.087259 0.01 0.54 0
368 64.024406 -24.086906 4.636851 0.0775 0
369 64.019455 -24.08741 0.105 0.215 0
370 64.017601 -24.086895 2.2125 0.0425 0
371 64.026917 -24.084858 3.191549 0.0725 0
372 64.016418 -24.086866 4.099 0.29695 0
373 64.036552 -24.087666 0.3625 0.05235 0
374 64.028763 -24.086857 3.9524 0.01 0
375 64.039749 -24.087059 2.4 0.0023 0
376 64.049263 -24.086851 1.544 0.00865 0
377 64.029663 -24.085835 0.5495 0.0593 0
378 64.035683 -24.087446 0.9985 0.0265 0
379 64.022301 -24.087074 0.91 0.014 0
380 64.019188 -24.087357 0.22 0.493 0
381 64.022324 -24.086813 4.218 0.04 0
382 64.04969 -24.087128 2.171999 0.0265 0
383 64.0495 -24.086798 5.055501 2.8195 0
384 64.038841 -24.086803 2.573 0.375 0
385 64.025726 -24.086781 0.83 0.0595 0
386 64.018936 -24.086773 0.52 0.325 0
387 64.038322 -24.086771 1.5 0.105 0
388 64.014786 -24.08712 0.105 0.0245 0
389 64.020752 -24.087107 2.0731 0.041 0
390 64.028923 -24.086796 3.39055 0.059 0
391 64.027985 -24.08626 3.2871 0.075 0
392 64.02298 -24.086697 4.175 0.01 0
393 64.029037 -24.085972 0.62 1.11345 0
394 64.050797 -24.086693 7.1153 1.401 0
395 64.013145 -24.086672 3.493 0.69735 0
396 64.0205 -24.086679 9.96635 0.053499 0
397 64.044067 -24.087297 0.7205 0.02645 0
398 64.021736 -24.087067 0.77 0.12555 0
399 64.051125 -24.086569 2.643 3.731 0
400 64.013268 -24.086555 3.76995 0.155 0
401 64.039818 -24.086569 2.1265 0.1215 0
402 64.039528 -24.086664 2.4965 0.081 0
403 64.027611 -24.086737 0.49 0.128 0
404 64.036758 -24.086977 1.45 0.0167 0
405 64.047348 -24.086416 1.8275 0.0215 0
406 64.018471 -24.086708 0.4984 0.1225 0
407 64.035049 -24.086426 1.676 0.08 0
408 64.051445 -24.086426 1.43 0.0365 0
409 64.02681 -24.086424 2.86 0.0545 0
410 64.026268 -24.086544 0.105 0.2195 0
411 64.022888 -24.086327 2.674999 0.8035 0
412 64.013954 -24.086332 1.7545 0.0145 0
413 64.049606 -24.086241 1.074 0.025 0
414 64.02623 -24.086229 3.9843 0.1315 0
415 64.050728 -24.084906 0.4013 0.0 1
416 64.037308 -24.086582 2.1557 0.0 1
417 64.040688 -24.086685 5.185 0.244 0
418 64.028992 -24.085518 0.34 0.0194 0
419 64.017792 -24.086493 1.87985 0.065 0
420 64.022423 -24.08633 3.318 0.02 0
421 64.03006 -24.086369 2.45 0.153 0
422 64.046532 -24.086151 4.6375 0.1945 0
423 64.047371 -24.086609 1.82635 0.0465 0
424 64.02269 -24.086132 2.59395 0.13 0
425 64.018669 -24.086121 2.145 0.04 0
426 64.027802 -24.085407 1.4077 1.605 0
427 64.050194 -24.086117 2.367 0.0135 0
428 64.049881 -24.086449 3.917 0.0325 0
429 64.012589 -24.086039 0.05 0.5555 0
430 64.012329 -24.086357 6.66505 0.0748 0
431 64.04966 -24.086039 2.3735 0.0385 0
432 64.029007 -24.086933 9.987494 0.053499 0
433 64.025475 -24.085096 0.3953 0.0 1
434 64.015419 -24.08688 0.309 0.00695 0
435 64.029762 -24.08634 2.53465 0.098 0
436 64.038246 -24.085989 2.909 1.3 0
437 64.035431 -24.086098 1.625 0.053 0
438 64.035187 -24.08621 0.771 0.221 0
439 64.034164 -24.085926 0.9107 0.344 0
440 64.039719 -24.085907 3.691499 0.29185 0
441 64.02063 -24.086077 2.5493 0.058 0
442 64.018723 -24.085833 0.318 0.0175 0
443 64.033234 -24.085896 1.1345 0.0425 0
444 64.036499 -24.085762 3.3103 0.0305 0
445 64.035294 -24.086424 0.309 0.0345 0
446 64.045097 -24.085747 0.5995 0.09 0
447 64.037201 -24.085724 0.423 0.28 0
448 64.051445 -24.086012 3.038499 0.0515 0
449 64.032776 -24.085838 0.116 0.0075 0
450 64.026451 -24.085701 3.6365 0.1661 0
451 64.047455 -24.085836 1.8555 0.04575 0
452 64.037506 -24.085682 4.315001 0.0145 0
453 64.039886 -24.085674 1.345 0.0235 0
454 64.033554 -24.085762 1.33 0.0115 0
455 64.027908 -24.085867 0.285 1.1115 0
456 64.028465 -24.085701 0.1101 0.0 1
457 64.030724 -24.086643 2.3015 0.0415 0
458 64.028358 -24.085648 1.951 0.9845 0
459 64.027153 -24.086206 2.604899 0.036 0
460 64.01429 -24.085886 1.92305 0.1765 0
461 64.044228 -24.08622 2.1253 0.0 1
462 64.047386 -24.086119 1.849 0.0 1
463 64.02655 -24.086493 0.01 0.02 0
464 64.048767 -24.085617 0.076 0.014 0
465 64.03508 -24.085516 5.325 0.091151 0
466 64.019737 -24.085646 4.908401 0.0605 0
467 64.045906 -24.085423 3.1595 0.0205 0
468 64.04538 -24.085419 3.06285 0.034 0
469 64.032364 -24.086014 1.3119 0.125 0
470 64.045998 -24.085653 1.2785 0.0905 0
471 64.016113 -24.085354 1.525 0.32335 0
472 64.014938 -24.085321 0.1305 0.44 0
473 64.014671 -24.085377 1.084 0.02725 0
474 64.047966 -24.085335 1.6708 0.0535 0
475 64.046593 -24.085325 3.27555 0.101 0
476 64.01754 -24.085304 4.755 0.0309 0
477 64.048523 -24.085281 1.499 0.01795 0
478 64.044098 -24.085459 1.3885 0.0326 0
479 64.016121 -24.085245 1.4458 0.145 0
480 64.015839 -24.085506 2.49985 0.085 0
481 64.046822 -24.085268 2.52 0.1051 0
482 64.0205 -24.085346 1.26 0.3112 0
483 64.035576 -24.08534 1.6045 0.0175 0
484 64.030495 -24.085918 3.318 0.035 0
485 64.015831 -24.085125 1.4245 0.0485 0
486 64.028297 -24.085865 0.1465 0.065 0
487 64.031601 -24.085756 1.9644 0.0 1
488 64.050873 -24.085886 3.173499 0.0705 0
489 64.043388 -24.085602 5.6272 2.4075 0
490 64.039146 -24.085098 0.5495 0.048 0
491 64.050095 -24.085327 1.3401 0.77 0
492 64.044121 -24.085047 1.741 0.01 0
493 64.019897 -24.085873 0.19625 0.1105 0
494 64.01429 -24.08563 0.295 0.095 0
495 64.034653 -24.084961 1.9145 0.255 0
496 64.012085 -24.084923 1.92 1.415 0
497 64.013557 -24.084932 4.175501 0.216 0
498 64.041458 -24.084919 4.647999 1.9995 0
499 64.053314 -24.08536 4.4435 1.9205 0
500 64.036469 -24.084923 0.03 0.02 0
501 64.033714 -24.084908 2.56545 1.782 0
502 64.016495 -24.084911 2.503 0.08 0
503 64.043648 -24.08499 2.37545 0.1015 0
504 64.049797 -24.084955 3.705 0.0644 0
505 64.044289 -24.085243 1.9 0.5548 0
506 64.019852 -24.085054 3.17625 0.1065 0
507 64.016838 -24.084866 4.283998 0.03765 0
508 64.021431 -24.085535 2.518 0.08 0
509 64.049362 -24.085028 0.309 0.10545 0
510 64.049866 -24.085436 2.5595 0.30585 0
511 64.019699 -24.084824 0.6575 0.0605 0
